station_type,station_name,member_casual,total_rides,latitude,longitude
End,Bernard St & Peterson Ave,casual,51,41.9904393,-87.715236
End,Bernard St & Peterson Ave,member,296,41.9904393,-87.715236
End,Big Marsh Park,casual,268,41.68587705562333,-87.57382392883301
End,Big Marsh Park,member,65,41.68587705562333,-87.57382392883301
End,Bissell St & Armitage Ave,casual,3282,41.9182955629354,-87.65218332409859
End,Bissell St & Armitage Ave,member,5411,41.9182955629354,-87.65218332409859
End,Bissell St & Armitage Ave*,casual,1424,41.9182955629354,-87.65218332409859
End,Bissell St & Armitage Ave*,member,2927,41.9182955629354,-87.65218332409859
End,Blackstone Ave & 53rd St,casual,1180,41.79961999999999,-87.59012999999999
End,Blackstone Ave & 53rd St,member,2360,41.79962,-87.59012999999999
End,Blackstone Ave & 59th St,casual,2148,41.787877,-87.590461
End,Blackstone Ave & 59th St,member,6998,41.787877,-87.590461
End,Blackstone Ave & Hyde Park Blvd,casual,1156,41.802562,-87.590368
End,Blackstone Ave & Hyde Park Blvd,member,2660,41.802562,-87.590368
End,Blue Island Ave & 18th St,casual,1754,41.857556,-87.661535
End,Blue Island Ave & 18th St,member,3846,41.857556,-87.661535
End,Bosworth Ave & Howard St,casual,244,42.019537,-87.669563
End,Bosworth Ave & Howard St,member,597,42.019537,-87.669563
End,Bradley Park,casual,3,41.717878301935,-87.56459176540375
End,Bradley Park,member,18,41.717878301935,-87.56459176540375
End,Broadway & Argyle St,casual,1927,41.97423,-87.6597735
End,Broadway & Argyle St,member,4967,41.97423,-87.6597735
End,Broadway & Barry Ave,casual,4975,41.93758231600629,-87.6440978050232
End,Broadway & Barry Ave,member,11903,41.93758231600629,-87.6440978050232
End,Broadway & Belmont Ave,casual,3615,41.940106,-87.645451
End,Broadway & Belmont Ave,member,8568,41.940106006181495,-87.64545100767424
End,Broadway & Berwyn Ave,casual,1905,41.978361,-87.659789
End,Broadway & Berwyn Ave,member,5420,41.978361,-87.659789
End,Broadway & Cornelia Ave,casual,4970,41.945529,-87.646439
End,Broadway & Cornelia Ave,member,13434,41.94552899999999,-87.646439
End,Broadway & Cuyler Ave,casual,905,41.95541699999999,-87.6515
End,Broadway & Cuyler Ave,member,2011,41.955417,-87.6515
End,Broadway & Granville Ave,casual,2232,41.9947796884,-87.6602845349
End,Broadway & Granville Ave,member,5102,41.9947796884,-87.6602845349
End,Broadway & Oakdale Ave,casual,3190,41.93558,-87.64405
End,Broadway & Oakdale Ave,member,6017,41.93558,-87.64405
End,Broadway & Ridge Ave,casual,1230,41.9840446107,-87.6602738295
End,Broadway & Ridge Ave,member,3151,41.98404461070001,-87.6602738295
End,Broadway & Roscoe Ave,casual,2407,41.9436,-87.64532
End,Broadway & Roscoe Ave,member,5244,41.9436,-87.64532
End,Broadway & Sheridan Rd,casual,3616,41.952833,-87.64999300000001
End,Broadway & Sheridan Rd,member,9536,41.952833,-87.649993
End,Broadway & Sunnyside Ave,casual,1636,41.96341900000001,-87.65606900000002
End,Broadway & Sunnyside Ave,member,5594,41.963419,-87.656069
End,Broadway & Thorndale Ave,casual,2233,41.98974251144,-87.66014062090001
End,Broadway & Thorndale Ave,member,4864,41.98974251144,-87.6601406209
End,Broadway & Waveland Ave,casual,5087,41.949074,-87.648636
End,Broadway & Waveland Ave,member,14477,41.949074,-87.648636
End,Broadway & Wilson Ave,casual,2312,41.965221,-87.658139
End,Broadway & Wilson Ave,member,6012,41.965221,-87.658139
End,Buckingham Fountain,casual,1441,41.86959,-87.623961
End,Buckingham Fountain,member,1335,41.86959,-87.623961
End,Budlong Woods Library,casual,334,41.98366470886,-87.6964225611
End,Budlong Woods Library,member,502,41.98366470886,-87.6964225611
End,Burley Ave & 85th St,casual,36,41.74117,-87.54518000000002
End,Burley Ave & 85th St,member,17,41.74117,-87.54518
End,Burley Ave & 91st St,casual,11,41.73054,-87.54557999999999
End,Burley Ave & 91st St,member,17,41.73053999999999,-87.54558
End,Burling St & Armitage Ave,casual,329,41.91808,-87.64728
End,Burling St & Armitage Ave,member,533,41.91808,-87.64728
End,Burling St & Diversey Pkwy,casual,2593,41.93314,-87.64776
End,Burling St & Diversey Pkwy,member,8286,41.93314,-87.64776
End,Burnham Greenway & 105th St,casual,79,41.7045750872071,-87.52823173999786
End,Burnham Greenway & 105th St,member,23,41.7045750872071,-87.52823173999786
End,Burnham Greenway & 112th St,casual,99,41.69177385116831,-87.53043115139008
End,Burnham Greenway & 112th St,member,49,41.69177385116831,-87.53043115139008
End,Burnham Harbor,casual,4375,41.85741178707405,-87.61379152536392
End,Burnham Harbor,member,4380,41.85741178707404,-87.61379152536392
End,Burnham Shores,casual,76,42.0403531,-87.6702128
End,Burnham Shores,member,36,42.0403531,-87.6702128
End,California & 16th St,casual,80,41.859228,-87.695562
End,California & 16th St,member,57,41.859228,-87.695562
End,California Ave & 16th St,casual,58,41.85926,-87.6955
End,California Ave & 16th St,member,306,41.85926,-87.6955
End,California Ave & 21st St,casual,337,41.8537957934734,-87.69582286477086
End,California Ave & 21st St,member,642,41.8537957934734,-87.69582286477088
End,California Ave & 23rd Pl,casual,152,41.84910969176,-87.6951398068
End,California Ave & 23rd Pl,member,237,41.84910969176,-87.6951398068
End,California Ave & 26th St,casual,63,41.8436799145765,-87.69496858119965
End,California Ave & 26th St,member,172,41.8436799145765,-87.69496858119965
End,California Ave & 29th St,casual,6,41.840222,-87.69412900000002
End,California Ave & 29th St,member,7,41.840222,-87.694129
End,California Ave & 36th St,casual,93,41.828098,-87.69468400000001
End,California Ave & 36th St,member,65,41.828098,-87.694684
End,California Ave & 41st St,casual,200,41.818670000000004,-87.69441
End,California Ave & 41st St,member,45,41.81867,-87.69441
End,California Ave & 71st St,casual,50,41.764748,-87.693121
End,California Ave & 71st St,member,27,41.764748,-87.693121
End,California Ave & Altgeld St,casual,910,41.92669,-87.69766799999998
End,California Ave & Altgeld St,member,2260,41.92669,-87.697668
End,California Ave & Byron St,casual,849,41.95216219326,-87.698051113
End,California Ave & Byron St,member,1919,41.95216219326,-87.698051113
End,California Ave & Cortez St,casual,1811,41.900363,-87.69670399999998
End,California Ave & Cortez St,member,3170,41.900363,-87.696704
End,California Ave & Division St,casual,1475,41.903029,-87.697474
End,California Ave & Division St,member,2348,41.903029,-87.697474
End,California Ave & Fletcher St,casual,1279,41.93842879148,-87.698007756
End,California Ave & Fletcher St,member,1972,41.93842879148,-87.698007756
End,California Ave & Francis Pl,casual,1711,41.91849115368695,-87.69742280244827
End,California Ave & Francis Pl,member,2768,41.91849115368695,-87.69742280244827
End,California Ave & Granville Ave,casual,273,41.99418029999999,-87.6995596
End,California Ave & Granville Ave,member,955,41.9941803,-87.69955960000001
End,California Ave & Lake St,casual,340,41.88445395657,-87.6962981368
End,California Ave & Lake St,member,390,41.88445395657,-87.6962981368
End,California Ave & Madison St,casual,54,41.88098,-87.69598000000002
End,California Ave & Madison St,member,70,41.88098,-87.69598
End,California Ave & Marquette Rd,casual,67,41.771611,-87.693331
End,California Ave & Marquette Rd,member,22,41.771611,-87.693331
End,California Ave & Milwaukee Ave,casual,3654,41.922695,-87.697153
End,California Ave & Milwaukee Ave,member,7885,41.922695,-87.697153
